,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
78,Common sole Eastern English Channel,Multinational_ICES Working Group on Celtic Seas Ecosystems,Eastern English,1982,36,7,1.349056604,-0.18129354,-0.442462876,-0.261169336,0.277315551,0.370127192,0.115308004,"Flounders, halibuts, soles",2700
79,Common sole Irish Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Irish Sea,1970,48,7,0.363354037,0.028883684,0.020454369,-0.008429315,0.196802672,0.193594743,0.022301871,"Flounders, halibuts, soles",2700
80,Common sole North Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,North Sea,1957,61,7,0.920634921,0.163192763,0.088033532,-0.075159231,0.114660046,0.070110206,0.068886616,"Flounders, halibuts, soles",2700
81,Common sole Western English Channel,Multinational_ICES Working Group on Celtic Seas Ecosystems,Western English,1969,49,7,1.62704918,-0.053306928,-0.018560851,0.034746077,0.207862235,0.155640069,0.062427562,"Flounders, halibuts, soles",2700
82,European plaice Celtic Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Celtic Sea,1993,17,1,0.917431193,-0.257469511,-0.32090772,-0.063438209,NA,NA,NA,"Flounders, halibuts, soles",2700
83,European plaice Eastern English Channel,Multinational_ICES Working Group on Celtic Seas Ecosystems,Eastern English,1980,38,5,5.80998782,-0.113877596,-0.341769858,-0.227892262,0.463369753,0.809459474,0.353928701,"Flounders, halibuts, soles",2700
84,European plaice Irish Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Irish Sea,1981,37,3,3.117066291,0.501812839,0.389717533,-0.112095307,0.472974205,0.531137538,0.140972657,"Flounders, halibuts, soles",2700
85,European plaice North Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,North Sea,1957,61,7,2.751461988,0.104347903,-0.073794393,-0.178142296,0.189244314,0.189298585,0.0806349,"Flounders, halibuts, soles",2700
86,European plaice Western English Channel,Multinational_ICES Working Group on Celtic Seas Ecosystems,Western English,1980,34,3,2.294605809,-0.009213157,-0.079663363,-0.070450206,0.038288117,0.144377944,0.118440642,"Flounders, halibuts, soles",2700
87,Haddock Irish Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Irish Sea ,1993,24,1,8.577586207,0.04020642,0.031548358,-0.008658063,NA,NA,NA,"Cods, hakes, haddocks",1650
88,Haddock Rockall Bank,Multinational_ICES Working Group on Celtic Seas Ecosystems,Rockall Bank ,1991,26,6,1.198675497,0.28418809,0.332688059,0.048499969,0.313183139,0.32160457,0.016321848,"Cods, hakes, haddocks",1650
